method,group_score,C_level,count,percentage
CAT-EAP,Sangat Rendah,C1,1158,28.195763330898465
CAT-EAP,Sangat Rendah,C2,1616,39.34745556367178
CAT-EAP,Sangat Rendah,C3,989,24.080837594351106
CAT-EAP,Sangat Rendah,C4,324,7.888970051132213
CAT-EAP,Sangat Rendah,C5,20,0.48697345994643293
CAT-EAP,Sangat Rendah,C6,0,0.0
CAT-EAP,Rendah,C1,33,0.8235587721487396
CAT-EAP,Rendah,C2,748,18.667332168704768
CAT-EAP,Rendah,C3,2034,50.76116795607687
CAT-EAP,Rendah,C4,1024,25.555278263039682
CAT-EAP,Rendah,C5,167,4.167706513601198
CAT-EAP,Rendah,C6,1,0.02495632642874969
CAT-EAP,Sedang,C1,5,0.12496875781054737
CAT-EAP,Sedang,C2,105,2.6243439140214946
CAT-EAP,Sedang,C3,1449,36.21594601349663
CAT-EAP,Sedang,C4,1819,45.463634091477125
CAT-EAP,Sedang,C5,610,15.246188452886777
CAT-EAP,Sedang,C6,13,0.3249187703074231
CAT-EAP,Tinggi,C1,2,0.04992511233150275
CAT-EAP,Tinggi,C2,16,0.399400898652022
CAT-EAP,Tinggi,C3,405,10.109835247129306
CAT-EAP,Tinggi,C4,1323,33.02546180728906
CAT-EAP,Tinggi,C5,1898,47.37893160259611
CAT-EAP,Tinggi,C6,362,9.036445332001996
CAT-EAP,Sangat Tinggi,C1,0,0.0
CAT-EAP,Sangat Tinggi,C2,0,0.0
CAT-EAP,Sangat Tinggi,C3,79,1.8778226764915615
CAT-EAP,Sangat Tinggi,C4,390,9.270263845971002
CAT-EAP,Sangat Tinggi,C5,1443,34.2999762300927
CAT-EAP,Sangat Tinggi,C6,2295,54.55193724744474
CAT-MLE,Sangat Rendah,C1,1738,39.43725890628546
CAT-MLE,Sangat Rendah,C2,1531,34.740186067619696
CAT-MLE,Sangat Rendah,C3,658,14.930791921942365
CAT-MLE,Sangat Rendah,C4,311,7.056954844565463
CAT-MLE,Sangat Rendah,C5,54,1.2253233492171545
CAT-MLE,Sangat Rendah,C6,115,2.609484910369866
CAT-MLE,Rendah,C1,208,5.0608272506082725
CAT-MLE,Rendah,C2,1008,24.525547445255473
CAT-MLE,Rendah,C3,1820,44.28223844282238
CAT-MLE,Rendah,C4,877,21.338199513381994
CAT-MLE,Rendah,C5,142,3.454987834549878
CAT-MLE,Rendah,C6,55,1.338199513381995
CAT-MLE,Sedang,C1,41,1.0031808172253487
CAT-MLE,Sedang,C2,165,4.037191093711769
CAT-MLE,Sedang,C3,1437,35.16026425250795
CAT-MLE,Sedang,C4,1648,40.322975287496945
CAT-MLE,Sedang,C5,653,15.977489601174454
CAT-MLE,Sedang,C6,143,3.498898947883533
CAT-MLE,Tinggi,C1,21,0.5100801554529998
CAT-MLE,Tinggi,C2,30,0.7286859363614282
CAT-MLE,Tinggi,C3,390,9.472917172698567
CAT-MLE,Tinggi,C4,1109,26.937090114160796
CAT-MLE,Tinggi,C5,1877,45.591450085013356
CAT-MLE,Tinggi,C6,690,16.75977653631285
CAT-MLE,Sangat Tinggi,C1,156,3.449800973020787
CAT-MLE,Sangat Tinggi,C2,3,0.06634232640424591
CAT-MLE,Sangat Tinggi,C3,96,2.122954444935869
CAT-MLE,Sangat Tinggi,C4,316,6.988058381247236
CAT-MLE,Sangat Tinggi,C5,1034,22.865988500663423
CAT-MLE,Sangat Tinggi,C6,2917,64.50685537372843
RB-Prior,Sangat Rendah,C1,1725,23.298217179902757
RB-Prior,Sangat Rendah,C2,2147,28.997839005942733
RB-Prior,Sangat Rendah,C3,1893,25.567260940032416
RB-Prior,Sangat Rendah,C4,1337,18.057806591031873
RB-Prior,Sangat Rendah,C5,302,4.078876283090222
RB-Prior,Sangat Rendah,C6,0,0.0
RB-Prior,Rendah,C1,1060,14.14842498665243
RB-Prior,Rendah,C2,1418,18.926855312333153
RB-Prior,Rendah,C3,1887,25.18686599038975
RB-Prior,Rendah,C4,1876,25.040042712226374
RB-Prior,Rendah,C5,1000,13.347570742124933
RB-Prior,Rendah,C6,251,3.3502402562733584
RB-Prior,Sedang,C1,842,10.83376222336593
RB-Prior,Sedang,C2,1168,15.028306742151312
RB-Prior,Sedang,C3,1512,19.454451878538343
RB-Prior,Sedang,C4,1993,25.643335048893462
RB-Prior,Sedang,C5,1661,21.371590324240863
RB-Prior,Sedang,C6,596,7.668553782810088
RB-Prior,Tinggi,C1,729,9.147948299661188
RB-Prior,Tinggi,C2,946,11.87100012548626
RB-Prior,Tinggi,C3,1260,15.811268666081062
RB-Prior,Tinggi,C4,1804,22.637721169531936
RB-Prior,Tinggi,C5,1929,24.206299410214584
RB-Prior,Tinggi,C6,1301,16.325762329024972
RB-Prior,Sangat Tinggi,C1,673,8.598441292960265
RB-Prior,Sangat Tinggi,C2,692,8.841190749968058
RB-Prior,Sangat Tinggi,C3,857,10.949278139772582
RB-Prior,Sangat Tinggi,C4,1118,14.283889101827011
RB-Prior,Sangat Tinggi,C5,1324,16.91580426727993
RB-Prior,Sangat Tinggi,C6,3163,40.41139644819216
RB-NoPrior,Sangat Rendah,C1,1932,25.258203686756435
RB-NoPrior,Sangat Rendah,C2,2367,30.945221597594458
RB-NoPrior,Sangat Rendah,C3,2131,27.85985096090992
RB-NoPrior,Sangat Rendah,C4,916,11.975421623741665
RB-NoPrior,Sangat Rendah,C5,303,3.9613021309975163
RB-NoPrior,Sangat Rendah,C6,0,0.0
RB-NoPrior,Rendah,C1,1122,14.918228958915039
RB-NoPrior,Rendah,C2,1549,20.595665470017284
RB-NoPrior,Rendah,C3,2025,26.92461108895094
RB-NoPrior,Rendah,C4,1880,24.996675973939634
RB-NoPrior,Rendah,C5,794,10.557106767717059
RB-NoPrior,Rendah,C6,151,2.0077117404600453
RB-NoPrior,Sedang,C1,834,11.994822378829282
RB-NoPrior,Sedang,C2,1038,14.928807708902633
RB-NoPrior,Sedang,C3,1462,21.026894865525673
RB-NoPrior,Sedang,C4,1673,24.06155616280742
RB-NoPrior,Sedang,C5,1319,18.970228678268374
RB-NoPrior,Sedang,C6,627,9.01769020566662
RB-NoPrior,Tinggi,C1,651,13.851063829787233
RB-NoPrior,Tinggi,C2,787,16.74468085106383
RB-NoPrior,Tinggi,C3,1115,23.72340425531915
RB-NoPrior,Tinggi,C4,1216,25.872340425531913
RB-NoPrior,Tinggi,C5,535,11.382978723404255
RB-NoPrior,Tinggi,C6,396,8.425531914893616
RB-NoPrior,Sangat Tinggi,C1,607,14.877450980392156
RB-NoPrior,Sangat Tinggi,C2,648,15.88235294117647
RB-NoPrior,Sangat Tinggi,C3,756,18.529411764705884
RB-NoPrior,Sangat Tinggi,C4,894,21.91176470588235
RB-NoPrior,Sangat Tinggi,C5,809,19.82843137254902
RB-NoPrior,Sangat Tinggi,C6,366,8.970588235294118
