method,metric,value
CAT-EAP,Correlation,0.9484625299503516
CAT-EAP,RMSE,5.824834277537593
CAT-EAP,Bias,0.20632130933649578
CAT-EAP,Avg Items,20.328
CAT-MLE,Correlation,0.9496068863455465
CAT-MLE,RMSE,5.91405059039504
CAT-MLE,Bias,0.05443843828148607
CAT-MLE,Avg Items,21.243
RB-Prior,Correlation,0.8607652522456956
RB-Prior,RMSE,11.25860913232899
RB-Prior,Bias,-0.20887035066983606
RB-Prior,Avg Items,38.464
RB-NoPrior,Correlation,0.853317532959064
RB-NoPrior,RMSE,11.210236501928716
RB-NoPrior,Bias,5.852179722877543
RB-NoPrior,Avg Items,30.903
